Date and time: Tue Jun 18 16:21:25 2024

SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     m ,    0 ,     13 ,     6 ,    0 ,    8         ,
27 ,    45 ,     m ,    0 ,     133 ,     189 ,    0 ,    81         ,
27 ,    85 ,     m ,    0 ,     253 ,     443 ,    0 ,    140         ,
27 ,    125 ,     m ,    0 ,     373 ,     716 ,    0 ,    173         ,
27 ,    165 ,     m ,    0 ,     493 ,     1004 ,    0 ,    226         ,
27 ,    205 ,     m ,    0 ,     613 ,     1316 ,    0 ,    318         ,
27 ,    245 ,     m ,    0 ,     733 ,     1627 ,    0 ,    470         ,
27 ,    285 ,     m ,    0 ,     853 ,     1967 ,    0 ,    479         ,
27 ,    325 ,     m ,    0 ,     973 ,     2303 ,    0 ,    603         ,
27 ,    365 ,     m ,    0 ,     1093 ,     2636 ,    0 ,    458         ,
27 ,    405 ,     m ,    0 ,     1213 ,     3000 ,    0 ,    512         ,
27 ,    445 ,     m ,    0 ,     1333 ,     3355 ,    0 ,    577         ,
27 ,    485 ,     m ,    0 ,     1453 ,     3713 ,    0 ,    629         ,
27 ,    525 ,     m ,    0 ,     1573 ,     4050 ,    0 ,    2040         ,
27 ,    565 ,     m ,    0 ,     1693 ,     4451 ,    0 ,    854         ,
27 ,    605 ,     m ,    0 ,     1813 ,     4830 ,    0 ,    801         ,
27 ,    645 ,     m ,    0 ,     1933 ,     5208 ,    0 ,    857         ,
27 ,    685 ,     m ,    0 ,     2053 ,     5586 ,    0 ,    917         ,
27 ,    725 ,     m ,    0 ,     2173 ,     5980 ,    0 ,    2662         ,
27 ,    765 ,     m ,    0 ,     2293 ,     6373 ,    0 ,    1030         ,
27 ,    805 ,     m ,    0 ,     2413 ,     6762 ,    0 ,    1108         ,
27 ,    845 ,     m ,    0 ,     2533 ,     7170 ,    0 ,    1167         ,
27 ,    885 ,     m ,    0 ,     2653 ,     7573 ,    0 ,    1229         ,
27 ,    925 ,     m ,    0 ,     2773 ,     7918 ,    0 ,    1285         ,
27 ,    965 ,     m ,    0 ,     2893 ,     8338 ,    0 ,    1338         ,
27 ,    1005 ,     m ,    0 ,     3013 ,     8758 ,    0 ,    1422         ,
27 ,    1045 ,     m ,    0 ,     3133 ,     9155 ,    0 ,    1471         ,
27 ,    1085 ,     m ,    0 ,     3253 ,     9562 ,    0 ,    1525         ,
27 ,    1125 ,     m ,    0 ,     3373 ,     9998 ,    0 ,    1775         ,
27 ,    1165 ,     m ,    0 ,     3493 ,     10406 ,    0 ,    1660         ,
27 ,    1205 ,     m ,    0 ,     3613 ,     10810 ,    0 ,    1723         ,
27 ,    1245 ,     m ,    0 ,     3733 ,     11230 ,    0 ,    1789         ,
27 ,    1285 ,     m ,    0 ,     3853 ,     11659 ,    0 ,    2012         ,
27 ,    1325 ,     m ,    0 ,     3973 ,     12104 ,    0 ,    1897         ,
27 ,    1365 ,     m ,    0 ,     4093 ,     12547 ,    0 ,    1961         ,
27 ,    1405 ,     m ,    0 ,     4213 ,     12936 ,    0 ,    2193         ,
27 ,    1445 ,     m ,    0 ,     4333 ,     13374 ,    0 ,    2153         ,
27 ,    1485 ,     m ,    0 ,     4453 ,     13759 ,    0 ,    3618         ,
27 ,    1525 ,     m ,    0 ,     4573 ,     14224 ,    0 ,    2539         ,
27 ,    1565 ,     m ,    0 ,     4693 ,     14596 ,    0 ,    2294         ,
27 ,    1605 ,     m ,    0 ,     4813 ,     15104 ,    0 ,    2367         ,
27 ,    1645 ,     m ,    0 ,     4933 ,     15537 ,    0 ,    2539         ,
27 ,    1685 ,     m ,    0 ,     5053 ,     15963 ,    0 ,    2481         ,
27 ,    1725 ,     m ,    0 ,     5173 ,     16392 ,    0 ,    2564         ,
27 ,    1765 ,     m ,    0 ,     5293 ,     16834 ,    0 ,    2710         ,
27 ,    1805 ,     m ,    0 ,     5413 ,     17272 ,    0 ,    2665         ,
27 ,    1845 ,     m ,    0 ,     5533 ,     17703 ,    0 ,    4070         ,
27 ,    1885 ,     m ,    0 ,     5653 ,     18146 ,    0 ,    4313         ,
27 ,    1925 ,     m ,    0 ,     5773 ,     18576 ,    0 ,    2848         ,
27 ,    1965 ,     m ,    0 ,     5893 ,     19015 ,    0 ,    3042         ,
